path,filename,original_class,class,width,height,mode
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (180).jpg,Malignant case (180).jpg,Malignant cases,malignant,511,404,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (200).jpg,Malignant case (200).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (201).jpg,Malignant case (201).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (202).jpg,Malignant case (202).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (203).jpg,Malignant case (203).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (204).jpg,Malignant case (204).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (205).jpg,Malignant case (205).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (206).jpg,Malignant case (206).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (207).jpg,Malignant case (207).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (208).jpg,Malignant case (208).jpg,Malignant cases,malignant,801,512,RGB
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (209).jpg,Malignant case (209).jpg,Malignant cases,malignant,801,512,RGB
