path,filename,original_class,class,width,height,mode,file_hash
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (1).jpg,Bengin case (1).jpg,Bengin cases,benign,512,512,RGB,48244f06d0e4113db2804de0508cb268
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (10).jpg,Bengin case (10).jpg,Bengin cases,benign,512,512,RGB,99791386d3b0a0e8c98dff3852469e0c
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (100).jpg,Bengin case (100).jpg,Bengin cases,benign,512,512,RGB,8ddc1574a0467d15b072b49c2b57a3a2
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (101).jpg,Bengin case (101).jpg,Bengin cases,benign,512,512,RGB,c46607abc89204a76df6696692b50d28
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (102).jpg,Bengin case (102).jpg,Bengin cases,benign,512,512,RGB,c030be1eb5b4e7151b5877c9dd236690
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (103).jpg,Bengin case (103).jpg,Bengin cases,benign,512,512,RGB,310cace08fcf642c6a8272828bd13cd3
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (104).jpg,Bengin case (104).jpg,Bengin cases,benign,512,512,RGB,96f775ab34867814577e2cb8aa94944b
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (106).jpg,Bengin case (106).jpg,Bengin cases,benign,512,512,RGB,ee01df92621e3d9030400bac5a5b30ad
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (108).jpg,Bengin case (108).jpg,Bengin cases,benign,512,512,RGB,df8aad1541275d5f748dcefac2e96b54
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (109).jpg,Bengin case (109).jpg,Bengin cases,benign,512,512,RGB,0d92a4d6d176b557771cd66f4b372bc5
