path,filename,original_class,class,width,height,mode,file_hash
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (19).jpg,Normal case (19).jpg,Normal cases,normal,512,512,RGB,01999c7651f123040a7e961a635b0264
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (413).jpg,Normal case (413).jpg,Normal cases,normal,512,512,RGB,01999c7651f123040a7e961a635b0264
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (114).jpg,Bengin case (114).jpg,Bengin cases,benign,512,512,RGB,01da37fceb8444d1d35204fe202073da
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (115).jpg,Bengin case (115).jpg,Bengin cases,benign,512,512,RGB,01da37fceb8444d1d35204fe202073da
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (64).jpg,Bengin case (64).jpg,Bengin cases,benign,512,512,RGB,072e07b5986c5f1c04a74bb6d1ff45db
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (65).jpg,Bengin case (65).jpg,Bengin cases,benign,512,512,RGB,072e07b5986c5f1c04a74bb6d1ff45db
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (22).jpg,Bengin case (22).jpg,Bengin cases,benign,512,512,RGB,092589d7fbdb7b330150cc2917f75244
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (23).jpg,Bengin case (23).jpg,Bengin cases,benign,512,512,RGB,092589d7fbdb7b330150cc2917f75244
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (14).jpg,Malignant case (14).jpg,Malignant cases,malignant,512,512,RGB,0fb9ea60c4be3dd91f1f712a1d8c8797
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (148).jpg,Malignant case (148).jpg,Malignant cases,malignant,512,512,RGB,0fb9ea60c4be3dd91f1f712a1d8c8797
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (7).jpg,Malignant case (7).jpg,Malignant cases,malignant,512,512,RGB,23450b4638cd3d7c9285504f75a9caca
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (71).jpg,Malignant case (71).jpg,Malignant cases,malignant,512,512,RGB,23450b4638cd3d7c9285504f75a9caca
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (368).jpg,Normal case (368).jpg,Normal cases,normal,512,512,RGB,2414e885b980056a2740bd5669807205
