path,filename,original_class,class,width,height,mode,file_hash
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (115).jpg,Normal case (115).jpg,Normal cases,normal,512,512,RGB,a9128a9a910537098e33c2a3350a8c7c
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (207).jpg,Malignant case (207).jpg,Malignant cases,malignant,801,512,RGB,85225f8c4826bbd56c64ca902b28d89f
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (234).jpg,Malignant case (234).jpg,Malignant cases,malignant,623,512,RGB,643b013da4be76ace9306e9bb73495e8
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (301).jpg,Normal case (301).jpg,Normal cases,normal,512,512,RGB,baf4ec74ec73cc079bf22b86602b2e5f
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (392).jpg,Malignant case (392).jpg,Malignant cases,malignant,512,512,RGB,a79dc4739b43b614e5e96826f3f642ae
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (111).jpg,Normal case (111).jpg,Normal cases,normal,512,512,RGB,36a53181afa0a890905fcc5d7a1f4af6
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (358).jpg,Malignant case (358).jpg,Malignant cases,malignant,512,512,RGB,617a0d3dd6a9dcbe210ce0e0d71ac234
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (240).jpg,Normal case (240).jpg,Normal cases,normal,512,512,RGB,1a12f35b936a4013ca8e08cdb25d4da2
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (161).jpg,Normal case (161).jpg,Normal cases,normal,512,512,RGB,2f48f48cb648583f753d20ec25ee9fd9
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (49).jpg,Normal case (49).jpg,Normal cases,normal,512,512,RGB,9b2ca40efa7719c2be70c968b71f5c65
